communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
SanAngelocity,TX,,,,84474,2.76,4.8,78.81,1.14,27.99,16.42,29.95,16.25,11.57,84474,100,23534,76.93,2.24,37.05,27.01,6.25,14.14,27832,11353,12578,6863,11822,7491,6391,6800,14737,18.5,14.84,29.08,17.61,7.71,61.16,12.63,25.81,14.72,23.56,10.22,27.62,13.83,12.12,3.16,74.97,70.45,83.76,76.93,65.56,71.83,1223,1.9,4542,7.9,13.43,19.77,29.72,0.42,0.72,1.06,1.6,73.84,3.89,5.71,,2.59,2.69,2.45,61.39,6.6,52.54,,3958,88.57,59.21,1.64,34.69,1967,7.89,0.47,33000,48300,70200,37200,237,302,387,150,365,25.4,20.2,13,240,,5.38,69.08,45.39,73.13,87.74,155,171.47,130,143.81,104278,115356.9,672.8,171.5,93.65,85.16,2.58,12.26,,14.84,18,11,149,49.6,1702.6,0.68,105,7773206,83.87,,11.61,85990.6,512.19
Barbertoncity,OH,153,3828,,27623,2.49,5.26,94.08,0.29,0.33,13.24,25.31,12.11,15.24,27623,100,21688,67.14,0.47,36.17,35.91,12.39,24.38,26443,10366,10712,4962,5873,18690,583,9710,4626,16.93,8.47,31.19,7.88,8.67,51.76,28.81,19.41,21.56,15.52,11.23,26.78,13.8,12.63,3.03,66.86,64.74,66.61,70.4,48.26,61.45,1047,4.37,398,4.77,4.77,4.77,8.79,0.07,0.07,0.07,0.13,95.79,0.45,3.99,2.74,2.47,2.56,2.32,66.48,1.45,44.54,,649,94.47,64.26,3.39,42.84,1949,5.1,0.48,33800,44000,56500,22700,180,255,313,133,340,26.6,17,13.1,,,1.44,79.34,59.58,91.71,96.11,,,,,,,,,,,,,,,,,,7.9,3513.5,1.91,,,,,,,734.61
ChippewaFallscity,WI,17,14575,,12727,2.49,0.11,99.03,0.34,0.34,11.95,25.43,11.89,14.93,12727,100,23056,70.18,0.63,49.72,33.86,8.75,17.21,30546,11034,11128,21667,2542,479,12688,7828,1323,11.12,15.8,25.73,13.05,6.85,55.78,29.03,26.98,20.9,22.54,7.8,32.9,12.13,10.14,,72.22,72.67,77.26,73.78,67.23,74.49,212,1.89,81,,,2.47,13.58,,,0.02,0.09,96.81,0.47,3.44,2.14,2.34,2.6,1.97,65.29,1.06,51.2,,236,95.58,58.78,2.54,39.41,1952,2.55,0.56,34000,43600,55900,21900,191,266,334,143,329,27.1,18.6,13.6,,,0.64,78.91,54.71,84.7,92.48,,,,,,,,,,,,,,,,,,10.2,1249.9,0.19,,,,,,,51.91
Beavercreekcity,OH,,,,33626,2.88,0.92,96.35,2.34,1.02,14.91,23.52,11.5,8.14,33626,100,49143,88.07,0.99,64,17.53,1.98,21.15,52531,18362,18297,22636,4326,21070,11575,14954,1165,3.51,3.8,11.01,37.21,3.13,69.01,18.19,30.58,8.47,44.28,5.19,23.96,6.42,5.81,3.14,89.64,88.59,96.51,89.58,57.94,69.9,77,0.32,1154,15.08,21.14,27.3,30.07,0.52,0.73,0.94,1.03,95.48,0.49,3.26,2.72,2.84,2.93,2.29,88.77,0.45,16.76,,455,96.25,86.08,0.22,51.43,1968,0.35,0.07,79100,97100,125000,45900,388,467,584,196,577,22.9,19.1,11.6,,,3.43,56.09,57.26,68.76,84,,,,,,,,,,,,,,,,,,26.7,1260.7,0.34,,,,,,,94.97
Keenecity,NH,,39300,,22430,2.67,0.28,98.83,0.59,0.59,19.96,32.9,21.18,12.62,,,31235,79.04,0.93,51.45,28.59,4.67,16.39,38391,14246,14312,1704,5270,12691,8897,9317,1632,8.06,6.21,16.34,28.98,6.42,63.92,19.92,27.04,13.56,28.3,8.61,35.27,11.97,10.46,2.97,74.41,73.75,80.96,82.82,66.56,75.69,281,1.74,594,7.41,21.38,26.77,30.3,0.2,0.57,0.71,0.8,95.33,0.52,2.93,1.94,2.42,2.67,2.07,64.12,1.25,48.35,,450,94.91,58.09,0.44,25.78,1954,4.6,0.33,90900,113000,142400,51500,346,481,595,249,542,29.7,23.7,15.5,,,2.65,48.31,47.1,71.82,79.59,,,,,,,,,,,,,,,,,,38.6,580.3,0.03,,,,,,,422.05
Springfieldtownship,OH,23,74119,,13352,2.82,2.55,97.01,0.28,0.36,13.91,21.82,10.96,14.84,9827,73.6,32713,73.7,1.76,46.04,32.15,5.23,24.43,36199,14243,13832,12981,5114,106165,4091,5742,1116,8.79,8.16,25.83,13.65,5.41,55.46,24.72,22.89,17.76,27.61,7.8,22.04,9.11,8.48,3.02,82.16,77.61,83.46,74.35,68.08,72.52,125,1.16,130,3.85,3.85,11.54,11.54,0.04,0.04,0.11,0.11,97.24,0.48,3.26,2.66,2.69,2.72,2.51,83.85,1.2,32.59,,132,97.29,82.69,2.27,40.91,1957,2.3,1.35,46700,66300,90100,43400,158,248,322,164,341,24.3,16.9,12.1,,,0.97,79.97,63.34,91.08,95.84,,,,,,,,,,,,,,,,,,36.1,369.6,0.2,,,,,,,452.4
Swissvaleborough,PA,,75816,,10637,2.16,9.69,89.52,0.51,0.75,9.99,23.83,10.25,18.45,10637,100,23773,69.21,,43.75,35.02,8.65,19.7,26537,13164,13833,7680,234,9378,,22816,1322,12.53,9.07,21.74,20.9,6.62,55.31,12.37,35.69,9.73,34.27,9.65,35.59,12.34,11.16,2.88,63.45,64.25,70.11,66.94,55.69,64.4,232,2.99,244,,15.57,20.9,20.9,,0.36,0.48,0.48,93.29,0.35,3.26,1.89,2.15,2.42,1.81,62.28,0.65,56.32,,358,93.22,55.3,5.87,53.35,1940,1.91,1.15,30900,40900,56600,25700,256,316,386,130,402,24.4,20.1,13.8,,,2.29,89.14,64.43,92.84,95.93,,,,,,,,,,,,,,,,,,1.2,8564.4,16.83,,,,,,,407.12
Knoxvillecity,TN,,,,165121,2.36,15.78,82.73,1.04,0.67,16.31,32.25,18.75,13.77,165121,100,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,13169,6838,8519,8899,5971,11800,32189,20.8,12.59,29.21,21.73,7.11,55.4,12.82,29.18,14.23,27.6,12.18,37,15.95,14.23,2.88,62.09,57.18,75.41,64.48,59.22,65.69,5720,4.81,3274,36.01,44.26,55.62,61.91,0.71,0.88,1.1,1.23,96.24,0.48,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,1.98,69.57,47.86,77.77,87.92,302,175.62,281,163.41,253782,147582,840.3,175.6,87.37,95.36,4.64,,,4.64,31,,41.3,80,2063.3,1.93,328,16259984,93.05,,10.26,94556.8,1693.42
Kernersvilletown,NC,,,,10836,2.28,5.59,92.94,0.58,1.49,12.64,32.02,15.39,9.09,,,25649,84.51,0.9,30.14,19.2,2.24,7.63,32919,13997,14300,11547,4000,2331,,8797,903,8.46,11.55,25.51,16.96,5.99,71.82,26.71,14.3,19.37,20.59,13.18,27.19,17.29,15.37,2.82,66.54,65.51,80.56,67.38,78.17,84.51,183,2.38,172,20.93,34.88,34.88,61.63,0.33,0.55,0.55,0.98,96.9,0.81,1.49,0.95,2.24,2.5,2.05,47.84,1.7,65.02,,314,93.81,42.9,1.27,21.66,1977,6.37,0.65,56900,80700,107200,50300,243,302,360,117,373,22.5,20.8,13.1,,,1.59,60.31,34.76,64.31,79.22,,,,,,,,,,,,,,,,,,7.5,1451,,,,,,,,462.24
Bloomingtoncity,MN,53,6616,,86335,2.5,1.61,94.71,3.09,0.93,11.69,26.55,12.21,9.12,86335,100,41736,86.85,0.99,56.86,19.95,2.63,14.41,48608,20032,20459,14558,21025,10484,11321,11868,3154,3.7,2.51,8.76,31.69,3.28,74.28,17.21,21.96,9.56,31.64,7.74,30.48,10.92,9.4,2.95,80.21,80.39,88.29,82.66,72.26,78.55,777,1.27,3491,12.43,17.65,25.72,39.62,0.5,0.71,1.04,1.6,94.3,0.71,2.84,1.97,2.47,2.71,1.92,77.03,1.41,42.58,,1327,96.29,70.35,0.15,22.61,1967,0.63,0.18,82600,97500,127600,45000,465,545,647,182,574,25.8,20,11.3,,,4.04,66.76,54.64,82.23,90.48,,,,,,,,,,,,,,,,,,36.8,2345.2,3.14,,,,,,,
ScotchPlainstownship,NJ,39,66060,,21160,2.79,11.1,83.79,4.57,2.83,11.38,23.62,10.91,12.65,21160,100,58194,85.08,1.75,64.95,24.94,2.35,16.17,64920,27093,28517,18729,40576,21945,13857,17816,313,1.49,4.57,12.02,41.42,3.75,67.53,14.49,28.02,6.01,42.09,,27.54,7.81,6.47,3.13,86.47,83.94,96.9,86.91,55.65,65.23,96,0.67,2311,9.91,14.28,21.46,33.58,1.08,1.56,2.34,3.67,85.29,1.53,3.96,3.21,2.77,2.91,2.13,85.73,0.92,25.64,,198,97.46,81.45,2.53,46.46,1957,0.41,0.28,168700,206900,284900,116200,618,702,813,195,782,23.5,21.1,15,,,10.92,58.63,70.79,81.71,90.89,,,,,,,,,,,,,,,,,,9.4,2250.1,7.6,,,,,,,115.14
Newingtontown,CT,,52140,,29208,2.6,1.41,96.54,1.4,2.1,11.37,23.38,11.09,15.64,29208,100,45481,82.11,0.33,60.89,31.36,2.87,21.71,50916,19668,19718,19828,8154,15573,19962,16970,513,1.79,8.71,20.02,24.89,3.44,67.54,15.61,24.08,8.43,32.55,7.02,28.45,9.91,8.57,3.01,82.24,81.3,94.23,79.27,70.91,79.94,185,0.85,3194,4.85,7.51,14.46,18.44,0.53,0.82,1.58,2.02,82.18,2.51,3.04,2.25,2.56,2.65,2.13,84.14,0.88,42.36,,386,96.67,81,0.26,36.79,1964,0.25,0.19,139000,165800,195100,56100,515,649,732,217,716,24.7,21.5,12.8,,,10.94,66.78,64.52,90.85,93.45,,,,,,,,,,,,,,,,,,13.7,2139.7,1.46,,,,,,,78.65
Moberlycity,MO,,,,12839,2.46,7.24,91.65,0.54,0.86,14.38,25.65,12.85,16.85,,,20569,68.59,2.14,40.02,36.52,6.53,12.22,26654,10475,10832,5991,14440,6270,,6043,2257,18.27,14.83,31.36,14.2,8.52,54.24,16.5,27.13,18.42,22.34,10.07,23.84,12.38,11.36,,71.13,67.77,74.34,75.51,73.71,76.08,259,2.49,96,12.5,23.96,23.96,23.96,0.09,0.18,0.18,0.18,97.94,0.44,3.78,2.43,2.37,2.45,2.22,67.87,1.82,55.86,,618,89.41,65.74,0.65,53.4,1954,10.58,0.58,19700,33200,52700,33000,134,188,242,108,277,25.3,18.1,13.4,,,0.75,75.46,50.83,77.48,88.98,,,,,,,,,,,,,,,,,,10.5,1227.9,0.55,,,,,,,985.03
Sandycity,UT,,,,75058,3.86,0.19,97.05,1.69,2.54,19.8,28.26,11.74,3.14,75058,100,43971,90.62,0.85,45.34,10.48,2.59,9.81,45611,12840,12876,14276,15114,10192,13146,11001,3141,4.21,1.05,6.93,29.42,3.56,72.82,12.64,22.87,8.39,31.54,4.95,25.12,7.77,6.38,4.1,89.17,89.56,95.53,90.14,55.28,65.64,228,0.43,2193,10.21,13.27,18.06,26.99,0.3,0.39,0.53,0.79,94.69,0.55,20.44,18.4,3.85,3.94,3.21,89.44,3.24,13.73,,687,96.58,87.34,1.31,32.31,1978,0.86,0.26,70400,87500,111200,40800,293,397,538,245,500,22.8,21.9,11.4,,,2.92,66.41,51.8,80.89,85.88,,,,,,,,,,,,,,,,,,20.7,3625.3,2.34,,,,,,,131.68
Wheatoncity,IL,,,,51464,2.9,2.53,92.97,3.78,2.04,15.12,26.56,13.98,8.11,51464,100,52208,88.99,0.96,65.08,17.33,1.94,11.43,60709,22433,22966,14063,29209,16808,10699,14770,2494,5.12,3.52,7.8,49.38,2.42,70.3,15.33,31.86,5.38,44.93,5.4,30.22,9.02,7.31,3.21,87.46,87.61,95.25,85.32,59.06,67.26,229,0.68,3320,17.08,22.59,32.71,41.23,1.1,1.46,2.11,2.66,90.94,1.15,4.34,3.37,2.74,2.93,2.19,79.69,1.32,33.72,,860,95.38,74.54,0.23,18.6,1971,0.43,0.09,115600,148700,203500,87900,483,590,701,218,646,26.8,22.3,12.1,,,6.45,58.52,46.01,71.51,83.26,,,,,,,,,,,,,,,,,,11.5,4486.1,9.74,,,,,,,
WhiteLaketownship,MI,125,86860,,22608,2.91,0.69,98.03,0.43,1.3,14.36,26.88,12.39,6.34,18750,82.94,42549,87.81,0.98,44.73,17.54,5.63,13.94,46578,16750,16833,8975,12763,21196,11203,10504,968,4.36,3.75,16.57,16.76,6.2,67.54,24.3,20.98,14.48,24.36,9.43,26.86,12.04,10.75,3.22,82.93,80.98,92.8,79.86,64.5,71.03,410,2.64,464,8.84,8.84,10.13,11.85,0.18,0.18,0.21,0.24,96.45,0.23,4.46,3.6,2.87,2.91,2.53,90.45,2.06,32.43,,491,94.06,89.13,0.61,47.66,1970,1.57,0.1,71800,97000,132100,60300,364,457,533,169,543,23.8,17.9,12.9,,,2.05,84.3,57.66,87.87,96.67,,,,,,,,,,,,,,,,,,34.8,648.8,0.18,,,,,,,
Chickashacity,OK,,,,14988,2.49,9.78,84.1,0.45,2.48,13.84,25.38,12.24,16.31,,,18357,65.73,1.51,34.3,33.51,10.04,16.92,22964,10377,11003,6042,8782,31548,4075,3774,3325,23.15,13.83,33.47,18.06,9.5,51.29,16.2,30.48,17.19,24.54,11.61,22.62,14.36,13.15,2.98,68.5,64.73,77.13,69.49,60.79,69.09,357,2.65,191,14.66,17.28,22.51,32.98,0.19,0.22,0.29,0.42,96.64,0.29,3.68,2.46,2.39,2.37,2.43,65.84,2.43,51.03,,1038,85.28,66.47,6.94,67.73,1957,13.73,0.09,23400,38000,56100,32700,158,224,282,124,303,26.9,20.9,12.6,17,,1.27,71.55,50.54,81.53,93.34,,,,,,,,,,,,,,,,,,14.2,1057.3,,,,,,,,1134.5
Tucsoncity,AZ,,,,405390,2.49,4.28,75.25,2.2,29.25,15.91,31.47,16.94,11.34,405312,99.98,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,12560,9268,6689,7745,6272,7160,79287,20.16,9.36,21.39,20.71,8.12,58.52,9.49,28.85,10.35,26.28,11.94,36.79,16.19,14.15,3.1,65.86,61.93,74.97,68.55,61.52,68.39,12404,4.29,43397,18.97,28.48,35.61,44.27,2.03,3.05,3.81,4.74,72.89,4.14,6.32,3.82,2.42,2.59,2.24,55.14,7.3,62.99,,20653,88.74,51.44,2.07,22.06,1971,6.88,0.38,52200,66800,85600,33400,260,327,406,146,377,29.6,21.7,12.5,437,102,10.71,34.8,41.54,73.61,79.3,745,165.56,685,152.23,516410,114762.6,693.2,165.6,99.01,75.57,3.09,20,0.67,23.76,30,,117.3,161.9,2503.8,4.29,497,46229100,91.95,,4.03,102735.7,969.6
