CRIM,RM,AGE,DIS,MEDV
0.26363,6.229,91.2,2.5451,19.4
0.10793,6.195,54.4,2.7778,21.7
0.10084,6.715,81.6,2.6775,22.8
0.12329,5.913,92.9,2.3534,18.8
0.22212,6.092,95.4,2.548,18.7
0.14231,6.254,84.2,2.2565,18.5
0.17134,5.928,88.2,2.4631,18.3
0.13158,6.176,72.5,2.7301,21.2
0.15098,6.021,82.6,2.7474,19.2
0.13058,5.872,73.1,2.4775,20.4
0.14476,5.731,65.2,2.7592,19.3
0.06899,5.87,69.7,2.2577,22
0.07165,6.004,84.1,2.1974,20.3
0.09299,5.961,92.9,2.0869,20.5
0.15038,5.856,97,1.9444,17.3
0.09849,5.879,95.8,2.0063,18.8
0.16902,5.986,88.4,1.9929,21.4
0.38735,5.613,95.6,1.7572,15.7
0.25915,5.693,96,1.7883,16.2
0.32543,6.431,98.8,1.8125,18
0.88125,5.637,94.7,1.9799,14.3
0.34006,6.458,98.9,2.1185,19.2
1.19294,6.326,97.7,2.271,19.6
0.59005,6.372,97.9,2.3274,23
0.32982,5.822,95.4,2.4699,18.4
0.97617,5.757,98.4,2.346,15.6
0.55778,6.335,98.2,2.1107,18.1
0.32264,5.942,93.5,1.9669,17.4
0.35233,6.454,98.4,1.8498,17.1
0.2498,5.857,98.2,1.6686,13.3
0.54452,6.151,97.9,1.6687,17.8
0.2909,6.174,93.6,1.6119,14
1.62864,5.019,100,1.4394,14.4
3.32105,5.403,100,1.3216,13.4
4.0974,5.468,100,1.4118,15.6
2.77974,4.903,97.8,1.3459,11.8
2.37934,6.13,100,1.4191,13.8
2.15505,5.628,100,1.5166,15.6
2.36862,4.926,95.7,1.4608,14.6
2.33099,5.186,93.8,1.5296,17.8
2.73397,5.597,94.9,1.5257,15.4
1.6566,6.122,97.3,1.618,21.5
1.49632,5.404,100,1.5916,19.6
1.12658,5.012,88,1.6102,15.3
2.14918,5.709,98.5,1.6232,19.4
1.41385,6.129,96,1.7494,17
3.53501,6.152,82.6,1.7455,15.6
2.44668,5.272,94,1.7364,13.1
1.22358,6.943,97.4,1.8773,41.3
1.34284,6.066,100,1.7573,24.3
1.42502,6.51,100,1.7659,23.3
1.27346,6.25,92.6,1.7984,27
1.46336,7.489,90.8,1.9709,50
1.83377,7.802,98.2,2.0407,50
1.51902,8.375,93.9,2.162,50
2.24236,5.854,91.8,2.422,22.7
2.924,6.101,93,2.2834,25
2.01019,7.929,96.2,2.0459,50
1.80028,5.877,79.2,2.4259,23.8
2.3004,6.319,96.1,2.1,23.8
2.44953,6.402,95.2,2.2625,22.3
1.20742,5.875,94.6,2.4259,17.4
2.3139,5.88,97.3,2.3887,19.1
0.13914,5.572,88.5,2.5961,23.1
0.09178,6.416,84.1,2.6463,23.6
0.08447,5.859,68.7,2.7019,22.6
0.06664,6.546,33.1,3.1323,29.4
0.07022,6.02,47.2,3.5549,23.2
0.05425,6.315,73.4,3.3175,24.6
0.06642,6.86,74.4,2.9153,29.9
0.0578,6.98,58.4,2.829,37.2
0.06588,7.765,83.3,2.741,39.8
0.06888,6.144,62.2,2.5979,36.2
0.09103,7.155,92.2,2.7006,37.9
0.10008,6.563,95.6,2.847,32.5
0.08308,5.604,89.8,2.9879,26.4
0.06047,6.153,68.8,3.2797,29.6
0.05602,7.831,53.6,3.1992,50
0.07875,6.782,41.1,3.7886,32
0.12579,6.556,29.1,4.5667,29.8
0.0837,7.185,38.9,4.5667,34.9
0.09068,6.951,21.5,6.4798,37
0.06911,6.739,30.8,6.4798,30.5
0.08664,7.178,26.3,6.4798,36.4
0.02187,6.8,9.9,6.2196,31.1
0.01439,6.604,18.8,6.2196,29.1
0.01381,7.875,32,5.6484,50
0.04011,7.287,34.1,7.309,33.3
0.04666,7.107,36.6,7.309,30.3
0.03768,7.274,38.3,7.309,34.6
0.0315,6.975,15.3,7.6534,34.9
0.01778,7.135,13.9,7.6534,32.9
0.03445,6.162,38.4,6.27,24.1
0.02177,7.61,15.7,6.27,42.3
0.0351,7.853,33.2,5.118,48.5
0.02009,8.034,31.9,5.118,50
0.13642,5.891,22.3,3.9454,22.6
0.22969,6.326,52.5,4.3549,24.4
0.25199,5.783,72.7,4.3549,22.5
0.13587,6.064,59.1,4.2392,24.4
0.43571,5.344,100,3.875,20
0.17446,5.96,92.1,3.8771,21.7
0.37578,5.404,88.6,3.665,19.3
0.21719,5.807,53.8,3.6526,22.4
0.14052,6.375,32.3,3.9454,28.1
0.28955,5.412,9.8,3.5875,23.7
0.19802,6.182,42.4,3.9454,25
0.0456,5.888,56,3.1121,23.3
0.07013,6.642,85.1,3.4211,28.7
0.11069,5.951,93.8,2.8893,21.5
0.11425,6.373,92.4,3.3633,23
0.35809,6.951,88.5,2.8617,26.7
0.40771,6.164,91.3,3.048,21.7
0.62356,6.879,77.7,3.2721,27.5
0.6147,6.618,80.8,3.2721,30.1
0.31533,8.266,78.3,2.8944,44.8
0.52693,8.725,83,2.8944,50
0.38214,8.04,86.5,3.2157,37.6
0.41238,7.163,79.9,3.2157,31.6
0.29819,7.686,17,3.3751,46.7
0.44178,6.552,21.4,3.3751,31.5
0.537,5.981,68.1,3.6715,24.3
0.46296,7.412,76.9,3.6715,31.7
0.57529,8.337,73.3,3.8384,41.7
0.33147,8.247,70.4,3.6519,48.3
0.44791,6.726,66.5,3.6519,29
0.33045,6.086,61.5,3.6519,24
0.52058,6.631,76.5,4.148,25.1
0.51183,7.358,71.6,4.148,31.5
0.08244,6.481,18.5,6.1899,23.7
0.09252,6.606,42.2,6.1899,23.3
0.11329,6.897,54.3,6.3361,22
0.10612,6.095,65.1,6.3361,20.1
0.1029,6.358,52.9,7.0355,22.2
0.12757,6.393,7.8,7.0355,23.7
0.20608,5.593,76.5,7.9549,17.6
0.19133,5.605,70.2,7.9549,18.5
0.33983,6.108,34.9,8.0555,24.3
0.19657,6.226,79.2,8.0555,20.5
0.16439,6.433,49.1,7.8265,24.5
0.19073,6.718,17.5,7.8265,26.2
0.1403,6.487,13,7.3967,24.4
0.21409,6.438,8.9,7.3967,24.8
0.08221,6.957,6.8,8.9067,29.6
0.36894,8.259,8.4,8.9067,42.8
0.04819,6.108,32,9.2203,21.9
0.03548,5.876,19.1,9.2203,20.9
0.01538,7.454,34.2,6.3361,44
0.61154,8.704,86.9,1.801,50
0.66351,7.333,100,1.8946,36
0.65665,6.842,100,2.0107,30.1
0.54011,7.203,81.8,2.1121,33.8
0.53412,7.52,89.4,2.1398,43.1
0.52014,8.398,91.5,2.2885,48.8
0.82526,7.327,94.5,2.0788,31
0.55007,7.206,91.6,1.9301,36.5
0.76162,5.56,62.8,1.9865,22.8
0.7857,7.014,84.6,2.1329,30.7
0.57834,8.297,67,2.4216,50
0.5405,7.47,52.6,2.872,43.5
0.09065,5.92,61.5,3.9175,20.7
0.29916,5.856,42.1,4.429,21.1
0.16211,6.24,16.3,4.429,25.2
0.1146,6.538,58.7,3.9175,24.4
0.22188,7.691,51.8,4.3665,35.2
0.05644,6.758,32.9,4.0776,32.4
0.09604,6.854,42.8,4.2673,32
0.10469,7.267,49,4.7872,33.2
0.06127,6.826,27.6,4.8628,33.1
0.07978,6.482,32.1,4.1403,29.1
0.21038,6.812,32.2,4.1007,35.1
0.03578,7.82,64.5,4.6947,45.4
0.03705,6.968,37.2,5.2447,35.4
0.06129,7.645,49.7,5.2119,46
0.01501,7.923,24.8,5.885,50
0.00906,7.088,20.8,7.3073,32.2
0.01096,6.453,31.9,7.3073,22
0.01965,6.23,31.5,9.0892,20.1
0.03871,6.209,31.3,7.3172,23.2
0.0459,6.315,45.6,7.3172,22.3
0.04297,6.565,22.9,7.3172,24.8
0.03502,6.861,27.9,5.1167,28.5
0.07886,7.148,27.7,5.1167,37.3
0.03615,6.63,23.4,5.1167,27.9
0.08265,6.127,18.4,5.5027,23.9
0.08199,6.009,42.3,5.5027,21.7
0.12932,6.678,31.1,5.9604,28.6
0.05372,6.549,51,5.9604,27.1
0.14103,5.79,58,6.32,20.3
0.06466,6.345,20.1,7.8278,22.5
0.05561,7.041,10,7.8278,29
0.04417,6.871,47.4,7.8278,24.8
0.03537,6.59,40.4,5.4917,22
0.09266,6.495,18.4,5.4917,26.4
0.1,6.982,17.7,5.4917,33.1
0.05515,7.236,41.1,4.022,36.1
0.05479,6.616,58.1,3.37,28.4
0.07503,7.42,71.9,3.0992,33.4
0.04932,6.849,70.3,3.1827,28.2
0.49298,6.635,82.5,3.3175,22.8
0.3494,5.972,76.7,3.1025,20.3
2.63548,4.973,37.8,2.5194,16.1
0.79041,6.122,52.8,2.6403,22.1
0.26169,6.023,90.4,2.834,19.4
0.26938,6.266,82.8,3.2628,21.6
0.3692,6.567,87.3,3.6023,23.8
0.25356,5.705,77.7,3.945,16.2
0.31827,5.914,83.2,3.9986,17.8
0.24522,5.782,71.7,4.0317,19.8
0.40202,6.382,67.2,3.5325,23.1
0.47547,6.113,58.8,4.0019,21
0.1676,6.426,52.3,4.5404,23.8
0.18159,6.376,54.3,4.5404,23.1
0.35114,6.041,49.9,4.7211,20.4
0.28392,5.708,74.3,4.7211,18.5
0.34109,6.415,40.1,4.7211,25
0.19186,6.431,14.7,5.4159,24.6
0.30347,6.312,28.9,5.4159,23
0.24103,6.083,43.7,5.4159,22.2
0.06617,5.868,25.8,5.2146,19.3
0.06724,6.333,17.2,5.2146,22.6
0.04544,6.144,32.2,5.8736,19.8
0.05023,5.706,28.4,6.6407,17.1
0.03466,6.031,23.3,6.6407,19.4
0.05083,6.316,38.1,6.4584,22.2
0.03738,6.31,38.5,6.4584,20.7
0.03961,6.037,34.5,5.9853,21.1
0.03427,5.869,46.3,5.2311,19.5
0.03041,5.895,59.6,5.615,18.5
0.03306,6.059,37.3,4.8122,20.6
0.05497,5.985,45.4,4.8122,19
0.06151,5.968,58.5,4.8122,18.7
0.01301,7.241,49.3,7.0379,32.7
0.02498,6.54,59.7,6.2669,16.5
0.02543,6.696,56.4,5.7321,23.9
0.03049,6.874,28.1,6.4654,31.2
0.03113,6.014,48.5,8.0136,17.5
0.06162,5.898,52.3,8.0136,17.2
0.0187,6.516,27.7,8.5353,23.1
0.01501,6.635,29.7,8.344,24.5
0.02899,6.939,34.5,8.7921,26.6
0.06211,6.49,44.4,8.7921,22.9
0.0795,6.579,35.9,10.7103,24.1
0.07244,5.884,18.5,10.7103,18.6
0.01709,6.728,36.1,12.1265,30.1
0.04301,5.663,21.9,10.5857,18.2
0.10659,5.936,19.5,10.5857,20.6
8.98296,6.212,97.4,2.1222,17.8
3.8497,6.395,91,2.5052,21.7
5.20177,6.127,83.4,2.7227,22.7
4.26131,6.112,81.3,2.5091,22.6
4.54192,6.398,88,2.5182,25
3.83684,6.251,91.1,2.2955,19.9
3.67822,5.362,96.2,2.1036,20.8
4.22239,5.803,89,1.9047,16.8
3.47428,8.78,82.9,1.9047,21.9
4.55587,3.561,87.9,1.6132,27.5
3.69695,4.963,91.4,1.7523,21.9
13.5222,3.863,100,1.5106,23.1
4.89822,4.97,100,1.3325,50
5.66998,6.683,96.8,1.3567,50
6.53876,7.016,97.5,1.2024,50
9.2323,6.216,100,1.1691,50
8.26725,5.875,89.6,1.1296,50
11.1081,4.906,100,1.1742,13.8
18.4982,4.138,100,1.137,13.8
19.6091,7.313,97.9,1.3163,15
15.288,6.649,93.3,1.3449,13.9
9.82349,6.794,98.8,1.358,13.3
23.6482,6.38,96.2,1.3861,13.1
17.8667,6.223,100,1.3861,10.2
88.9762,6.968,91.9,1.4165,10.4
15.8744,6.545,99.1,1.5192,10.9
9.18702,5.536,100,1.5804,11.3
7.99248,5.52,100,1.5331,12.3
20.0849,4.368,91.2,1.4395,8.8
16.8118,5.277,98.1,1.4261,7.2
24.3938,4.652,100,1.4672,10.5
22.5971,5,89.5,1.5184,7.4
14.3337,4.88,100,1.5895,10.2
8.15174,5.39,98.9,1.7281,11.5
6.96215,5.713,97,1.9265,15.1
5.29305,6.051,82.5,2.1678,23.2
11.5779,5.036,97,1.77,9.7
8.64476,6.193,92.6,1.7912,13.8
13.3598,5.887,94.7,1.7821,12.7
8.71675,6.471,98.8,1.7257,13.1
5.87205,6.405,96,1.6768,12.5
7.67202,5.747,98.9,1.6334,8.5
38.3518,5.453,100,1.4896,5
9.91655,5.852,77.8,1.5004,6.3
25.0461,5.987,100,1.5888,5.6
14.2362,6.343,100,1.5741,7.2
9.59571,6.404,100,1.639,12.1
24.8017,5.349,96,1.7028,8.3
41.5292,5.531,85.4,1.6074,8.5
67.9208,5.683,100,1.4254,5
20.7162,4.138,100,1.1781,11.9
11.9511,5.608,100,1.2852,27.9
7.40389,5.617,97.9,1.4547,17.2
14.4383,6.852,100,1.4655,27.5
51.1358,5.757,100,1.413,15
14.0507,6.657,100,1.5275,17.2
18.811,4.628,100,1.5539,17.9
28.6558,5.155,100,1.5894,16.3
45.7461,4.519,100,1.6582,7
18.0846,6.434,100,1.8347,7.2
10.8342,6.782,90.8,1.8195,7.5
25.9406,5.304,89.1,1.6475,10.4
73.5341,5.957,100,1.8026,8.8
11.8123,6.824,76.5,1.794,8.4
11.0874,6.411,100,1.8589,16.7
7.02259,6.006,95.3,1.8746,14.2
12.0482,5.648,87.6,1.9512,20.8
7.05042,6.103,85.1,2.0218,13.4
8.79212,5.565,70.6,2.0635,11.7
15.8603,5.896,95.4,1.9096,8.3
12.2472,5.837,59.7,1.9976,10.2
37.6619,6.202,78.7,1.8629,10.9
7.36711,6.193,78.1,1.9356,11
9.33889,6.38,95.6,1.9682,9.5
8.49213,6.348,86.1,2.0527,14.5
10.0623,6.833,94.3,2.0882,14.1
6.44405,6.425,74.8,2.2004,16.1
5.58107,6.436,87.9,2.3158,14.3
13.9134,6.208,95,2.2222,11.7
11.1604,6.629,94.6,2.1247,13.4
14.4208,6.461,93.3,2.0026,9.6
15.1772,6.152,100,1.9142,8.7
13.6781,5.935,87.9,1.8206,8.4
9.39063,5.627,93.9,1.8172,12.8
22.0511,5.818,92.4,1.8662,10.5
9.72418,6.406,97.2,2.0651,17.1
5.66637,6.219,100,2.0048,18.4
9.96654,6.485,100,1.9784,15.4
12.8023,5.854,96.6,1.8956,10.8
10.6718,6.459,94.8,1.9879,11.8
6.28807,6.341,96.4,2.072,14.9
9.92485,6.251,96.6,2.198,12.6
9.32909,6.185,98.7,2.2616,14.1
7.52601,6.417,98.3,2.185,13
6.71772,6.749,92.6,2.3236,13.4
5.44114,6.655,98.2,2.3552,15.2
5.09017,6.297,91.8,2.3682,16.1
8.24809,7.393,99.3,2.4527,17.8
9.51363,6.728,94.1,2.4961,14.9
4.75237,6.525,86.5,2.4358,14.1
4.66883,5.976,87.9,2.5806,12.7
8.20058,5.936,80.3,2.7792,13.5
7.75223,6.301,83.7,2.7831,14.9
6.80117,6.081,84.4,2.7175,20
4.81213,6.701,90,2.5975,16.4
3.69311,6.376,88.4,2.5671,17.7
6.65492,6.317,83,2.7344,19.5
5.82115,6.513,89.9,2.8016,20.2
7.83932,6.209,65.4,2.9634,21.4
3.1636,5.759,48.2,3.0665,19.9
3.77498,5.952,84.7,2.8715,19
4.42228,6.003,94.5,2.5403,19.1
15.5757,5.926,71,2.9084,19.1
13.0751,5.713,56.7,2.8237,20.1
4.34879,6.167,84,3.0334,19.9
4.03841,6.229,90.7,3.0993,19.6
3.56868,6.437,75,2.8965,23.2
4.64689,6.98,67.6,2.5329,29.8
8.05579,5.427,95.4,2.4298,13.8
6.39312,6.162,97.4,2.206,13.3
4.87141,6.484,93.6,2.3053,16.7
15.0234,5.304,97.3,2.1007,12
10.233,6.185,96.7,2.1705,14.6
14.3337,6.229,88,1.9512,21.4
5.82401,6.242,64.7,3.4242,23
5.70818,6.75,74.9,3.3317,23.7
5.73116,7.061,77,3.4106,25
2.81838,5.762,40.3,4.0983,21.8
2.37857,5.871,41.9,3.724,20.6
3.67367,6.312,51.9,3.9917,21.2
5.69175,6.114,79.8,3.5459,19.1
4.83567,5.905,53.2,3.1523,20.6
0.15086,5.454,92.7,1.8209,15.2
0.18337,5.414,98.3,1.7554,7
0.20746,5.093,98,1.8226,8.1
0.10574,5.983,98.8,1.8681,13.6
0.11132,5.983,83.5,2.1099,20.1
0.17331,5.707,54,2.3817,21.8
0.27957,5.926,42.6,2.3817,24.5
0.17899,5.67,28.8,2.7986,23.1
0.2896,5.39,72.9,2.7986,19.7
0.26838,5.794,70.6,2.8927,18.3
0.23912,6.019,65.3,2.4091,21.2
0.17783,5.569,73.5,2.3999,17.5
0.22438,6.027,79.7,2.4982,16.8
0.06263,6.593,69.1,2.4786,22.4
0.04527,6.12,76.7,2.2875,20.6
0.06076,6.976,91,2.1675,23.9
0.10959,6.794,89.3,2.3889,22
0.04741,6.03,80.8,2.505,11.9
